DEPTH,POROSITY,HOR_PERMEABILITY,VERT_PERMEABILITY,GRAIN_DENSITY,FORMATION_FACTOR,NITG_NR,UWI,SHORT_NM,ANALYSIS_NR,CORE_NR,LAB,LAB_NR,LAB_REPORT_DATE,REMARK,TOP_STRAT,BOTTOM_STRAT,STRAT_UNIT_CD,STRAT_UNIT_NM
1047.4000,,,,2.6600,,B37H0712,1461,IJS-57,K-0126,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1048.6000,25.9000,120.0000,,2.6400,,B37H0712,1461,IJS-57,K-0127,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1048.8000,19.1000,170.0000,,,,B37H0712,1461,IJS-57,K-0127A,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1053.0900,31.4000,,,2.6400,,B37H0712,1461,IJS-57,K-0128N,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1053.1000,26.1000,91.0000,,2.6400,,B37H0712,1461,IJS-57,K-0128,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1053.1100,30.2000,360.0000,,2.6600,,B37H0712,1461,IJS-57,K-0128R,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1053.4000,26.7000,96.0000,,2.5400,,B37H0712,1461,IJS-57,K-0129,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1053.7000,21.4000,12.0000,,2.6400,,B37H0712,1461,IJS-57,K-0130,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1054.2000,25.0000,68.0000,,2.6400,,B37H0712,1461,IJS-57,K-0131,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1054.5000,22.8000,240.0000,,2.7200,,B37H0712,1461,IJS-57,K-0132,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1054.8000,25.8000,69.0000,,2.6500,,B37H0712,1461,IJS-57,K-0133,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
